"","Id","Ciudad","Fecha_Nacimiento","Genero","Saldo","Antiguedad","fecha","fechahoy","Edad","Producto","total_Producto_mas_comprado","total_Valor_mas_Comprado","Marca","total_Marca_mas_Comprada","Color","total_Color_mas_Comprada","valor_estimado"
"1",1,"Bucaramanga","24/11/1982","F",245,7,1982-11-24,2019-03-06,36,"Accesorios",4,1887,"Arturo Calle",3,"Blanco",5,3.82667057859035
"2",3,"Bucaramanga","25/03/1991","M",113,20,1991-03-25,2019-03-06,27,"Pantalon",4,2586,"Gef",4,"Blanco",3,4.72744160391129
"3",5,"Bogotá","6/04/1969","F",261,19,1969-04-06,2019-03-06,49,"Camiseta",3,1767,"Tennis",3,"Blanco",2,3.67203177596015
"4",6,"Medellín","7/09/1988","F",101,27,1988-09-07,2019-03-06,30,"Camiseta",7,3109,"Levis",5,"Rojo",8,5.40140905204127
"5",7,"Medellín","15/03/1979","F",314,5,1979-03-15,2019-03-06,40,"Pantalon",3,2048,"Gef",3,"Rojo",4,4.03414430545254
"6",8,"Medellín","21/01/1970","F",397,9,1970-01-21,2019-03-06,49,"Camisa",3,1247,"Gef",3,"Amarillo",4,3.00193029789593
"7",11,"Bogotá","25/09/1986","F",350,18,1986-09-25,2019-03-06,32,"Accesorios",3,1839,"Polo Club",3,"Negro",4,3.76481505753827
"8",12,"Barranquilla","29/04/1980","F",167,11,1980-04-29,2019-03-06,38,"Camisa",3,1846,"Levis",3,"Verde",3,3.77383565435836
"9",14,"Bogotá","1/08/1983","F",268,1,1983-08-01,2019-03-06,35,"Pantalon",3,1450,"Polo Club",3,"Verde",3,3.26352760567869
"10",15,"Medellín","12/01/1990","M",129,25,1990-01-12,2019-03-06,29,"Camisa",4,1778,"Levis",5,"Negro",4,3.68620699953458
"11",18,"Bogotá","1/04/1976","M",528,3,1976-04-01,2019-03-06,42,"Interior",6,2238,"Tennis",5,"Blanco",3,4.2789890762837
"12",21,"Bucaramanga","4/10/1990","F",456,14,1990-10-04,2019-03-06,28,"Accesorios",2,1244,"Levis",3,"Rojo",3,2.99806432783017
"13",24,"Barranquilla","26/06/1978","M",223,7,1978-06-26,2019-03-06,40,"Camisa",6,2302,"Arturo Calle",3,"Negro",3,4.36146310435314
"14",26,"Barranquilla","2/02/1980","F",182,32,1980-02-02,2019-03-06,39,"Camiseta",3,2035,"Levis",4,"Azul",2,4.01739176850094
"15",28,"Medellín","2/01/1987","F",67,17,1987-01-02,2019-03-06,32,"Accesorios",3,1521,"Tennis",3,"Rojo",3,3.35502223056823
"16",29,"Bogotá","6/08/1973","M",298,27,1973-08-06,2019-03-06,45,"Pantalon",6,2007,"Tennis",4,"Blanco",3,3.98130938122056
"17",30,"Barranquilla","3/06/1971","M",531,24,1971-06-03,2019-03-06,47,"Interior",5,2085,"Tennis",5,"Verde",3,4.08182460293019
"18",31,"Cali","1/03/1985","F",121,21,1985-03-01,2019-03-06,34,"Camisa",3,2464,"Levis",4,"Rojo",3,4.57022548790392
"19",32,"Cali","24/05/1981","F",603,23,1981-05-24,2019-03-06,37,"Accesorios",3,1934,"Tennis",3,"Amarillo",3,3.88723744295385
"20",33,"Barranquilla","30/10/1983","F",464,31,1983-10-30,2019-03-06,35,"Camiseta",6,2728,"Levis",7,"Verde",4,4.91043085369037
"21",34,"Medellín","31/01/1982","M",259,13,1982-01-31,2019-03-06,37,"Camiseta",5,2641,"Tennis",5,"Azul",3,4.79831772178347
"22",35,"Barranquilla","25/10/1980","M",389,25,1980-10-25,2019-03-06,38,"Camisa",3,509,"Polo Club",2,"Rojo",2,2.05090166172017
"23",36,"Bucaramanga","17/12/1983","M",331,21,1983-12-17,2019-03-06,35,"Camisa",6,2848,"Tennis",5,"Azul",5,5.06506965632057
"24",37,"Bucaramanga","1/08/1980","F",411,19,1980-08-01,2019-03-06,38,"Accesorios",3,2140,"Levis",5,"Rojo",4,4.15270072080236
"25",42,"Bogotá","7/11/1979","F",583,20,1979-11-07,2019-03-06,39,"Pantalon",4,1883,"Arturo Calle",3,"Blanco",3,3.82151595183601
"26",44,"Bogotá","11/11/1977","M",627,23,1977-11-11,2019-03-06,41,"Camiseta",3,1950,"Polo Club",6,"Amarillo",3,3.90785594997121
"27",45,"Bogotá","12/02/1984","M",125,31,1984-02-12,2019-03-06,35,"Interior",4,2682,"Tennis",7,"Verde",5,4.85115264601546
"28",48,"Barranquilla","23/04/1981","F",628,35,1981-04-23,2019-03-06,37,"Pantalon",3,1224,"Levis",3,"Rojo",4,2.97229119405847
"29",49,"Barranquilla","1/02/1989","F",462,9,1989-02-01,2019-03-06,30,"Accesorios",4,3034,"Polo Club",5,"Rojo",5,5.30475980039739
"30",51,"Bucaramanga","9/05/1992","F",176,21,1992-05-09,2019-03-06,26,"Pantalon",8,3974,"Tennis",8,"Rojo",10,6.51609708766732
"31",52,"Cali","30/09/1991","F",262,23,1991-09-30,2019-03-06,27,"Accesorios",5,1610,"Levis",4,"Rojo",3,3.4697126758523
"32",53,"Medellín","22/07/1978","M",368,24,1978-07-22,2019-03-06,40,"Accesorios",4,1868,"Tennis",5,"Amarillo",4,3.80218610150723
"33",54,"Bucaramanga","12/03/1987","F",339,26,1987-03-12,2019-03-06,32,"Camiseta",7,3498,"Levis",5,"Rojo",6,5.90269650390085
"34",55,"Barranquilla","11/01/1985","F",472,11,1985-01-11,2019-03-06,34,"Camiseta",2,925,"Arturo Calle",2,"Amarillo",3,2.58698284417155
"35",56,"Bucaramanga","19/05/1986","F",429,30,1986-05-19,2019-03-06,32,"Camiseta",3,1548,"Levis",5,"Rojo",3,3.38981596116002
"36",58,"Bogotá","30/09/1984","M",350,29,1984-09-30,2019-03-06,34,"Camisa",6,3269,"Levis",5,"Verde",4,5.60759412221487
"37",62,"Bucaramanga","14/02/1984","F",319,13,1984-02-14,2019-03-06,35,"Camiseta",4,2390,"Polo Club",5,"Blanco",3,4.47486489294862
"38",67,"Bucaramanga","30/08/1982","M",563,26,1982-08-30,2019-03-06,36,"Camiseta",3,1932,"Levis",5,"Verde",6,3.88466012957668
"39",68,"Bogotá","20/05/1967","F",233,25,1967-05-20,2019-03-06,51,"Camiseta",6,3372,"Polo Club",4,"Rojo",5,5.74032576113913
"40",70,"Medellín","24/01/1980","M",516,33,1980-01-24,2019-03-06,39,"Accesorios",2,1420,"Levis",3,"Negro",3,3.22486790502114
"41",71,"Medellín","20/01/1991","F",626,29,1991-01-20,2019-03-06,28,"Camiseta",3,1497,"Gef",3,"Rojo",4,3.32409447004219
"42",73,"Medellín","16/09/1986","F",380,4,1986-09-16,2019-03-06,32,"Accesorios",5,2483,"Tennis",5,"Verde",4,4.59470996498703
"43",76,"Bogotá","30/07/1991","M",296,12,1991-07-30,2019-03-06,27,"Camiseta",6,2225,"Levis",4,"Rojo",5,4.26223653933209
"44",78,"Bucaramanga","7/01/1978","F",71,1,1978-01-07,2019-03-06,41,"Pantalon",4,1414,"Gef",3,"Azul",2,3.21713596488963
"45",79,"Cali","7/07/1979","F",510,21,1979-07-07,2019-03-06,39,"Interior",3,2142,"Gef",3,"Verde",4,4.15527803417953
"46",80,"Barranquilla","21/01/1975","F",628,24,1975-01-21,2019-03-06,44,"Interior",5,1599,"Levis",5,"Verde",4,3.45553745227786
"47",81,"Bogotá","30/10/1984","F",314,24,1984-10-30,2019-03-06,34,"Accesorios",3,1354,"Arturo Calle",3,"Verde",3,3.13981656357453
"48",82,"Barranquilla","31/03/1990","F",422,7,1990-03-31,2019-03-06,28,"Accesorios",2,1371,"Polo Club",4,"Verde",3,3.16172372728047
"49",83,"Cali","30/12/1989","M",606,22,1989-12-30,2019-03-06,29,"Accesorios",4,3145,"Levis",4,"Verde",6,5.44780069283033
"50",87,"Bucaramanga","25/06/1985","F",88,23,1985-06-25,2019-03-06,33,"Pantalon",6,2837,"Arturo Calle",4,"Rojo",5,5.05089443274614
"51",88,"Bogotá","30/08/1991","F",178,24,1991-08-30,2019-03-06,27,"Camisa",4,1881,"Levis",5,"Negro",3,3.81893863845884
"52",89,"Barranquilla","8/06/1975","M",417,32,1975-06-08,2019-03-06,43,"Interior",4,1100,"Tennis",4,"Verde",4,2.81249776467393
"53",91,"Medellín","15/02/1982","F",289,19,1982-02-15,2019-03-06,37,"Accesorios",4,1694,"Tennis",6,"Blanco",3,3.57795983769344
"54",93,"Cali","3/01/1991","F",150,14,1991-01-03,2019-03-06,28,"Camisa",5,2467,"Polo Club",5,"Rojo",5,4.57409145796967
"55",94,"Bucaramanga","7/05/1969","F",532,36,1969-05-07,2019-03-06,49,"Accesorios",3,1497,"Polo Club",3,"Verde",3,3.32409447004219
"56",95,"Medellín","31/07/1988","M",569,25,1988-07-31,2019-03-06,30,"Camisa",5,3019,"Levis",4,"Blanco",3,5.28542995006861
"57",96,"Barranquilla","19/03/1985","M",240,20,1985-03-19,2019-03-06,33,"Camisa",4,2525,"Levis",4,"Rojo",5,4.6488335459076
"58",97,"Cali","29/07/1977","M",356,6,1977-07-29,2019-03-06,41,"Camisa",5,2185,"Tennis",5,"Blanco",4,4.21069027178869
"59",100,"Medellín","9/12/1987","M",340,13,1987-12-09,2019-03-06,31,"Accesorios",4,2188,"Levis",4,"Rojo",4,4.21455624185445
"60",101,"Cali","14/11/1987","F",530,36,1987-11-14,2019-03-06,31,"Pantalon",5,2145,"Levis",5,"Verde",5,4.15914400424529
"61",102,"Barranquilla","3/05/1984","M",224,28,1984-05-03,2019-03-06,34,"Camiseta",3,1972,"Levis",4,"Azul",3,3.93620639712008
"62",104,"Medellín","3/05/1984","M",413,17,1984-05-03,2019-03-06,34,"Camisa",2,1162,"Levis",3,"Blanco",2,2.8923944793662
"63",105,"Bogotá","12/09/1985","M",368,6,1985-09-12,2019-03-06,33,"Camiseta",5,3254,"Polo Club",6,"Verde",5,5.5882642718861
"64",109,"Cali","10/01/1980","F",514,35,1980-01-10,2019-03-06,39,"Camisa",5,2587,"Levis",7,"Rojo",5,4.72873026059988
"65",110,"Bogotá","4/11/1980","M",233,17,1980-11-04,2019-03-06,38,"Camiseta",6,3108,"Levis",5,"Rojo",8,5.40012039535268
"66",111,"Bogotá","8/09/1988","F",423,19,1988-09-08,2019-03-06,30,"Accesorios",6,2821,"Arturo Calle",4,"Verde",7,5.03027592572878
"67",112,"Bogotá","29/04/1984","F",482,9,1984-04-29,2019-03-06,34,"Pantalon",5,2843,"Levis",4,"Azul",4,5.05862637287765
"68",113,"Barranquilla","28/04/1978","M",498,17,1978-04-28,2019-03-06,40,"Camisa",4,3024,"Levis",5,"Rojo",6,5.29187323351154
"69",114,"Bucaramanga","21/07/1993","M",119,35,1993-07-21,2019-03-06,25,"Pantalon",5,2557,"Polo Club",4,"Rojo",8,4.69007055994232
"70",116,"Bogotá","3/10/1985","F",315,10,1985-10-03,2019-03-06,33,"Interior",3,1251,"Levis",3,"Negro",3,3.00708492465027
"71",117,"Bogotá","11/06/1989","M",50,5,1989-06-11,2019-03-06,29,"Accesorios",2,1136,"Levis",3,"Azul",2,2.85888940546299
"72",118,"Barranquilla","16/01/1991","M",224,18,1991-01-16,2019-03-06,28,"Accesorios",3,1434,"Levis",3,"Rojo",4,3.24290909866133
"73",120,"Medellín","12/04/1989","F",384,30,1989-04-12,2019-03-06,29,"Accesorios",4,2072,"Tennis",5,"Amarillo",3,4.06507206597858
"74",121,"Barranquilla","26/09/1979","F",474,10,1979-09-26,2019-03-06,39,"Accesorios",3,1553,"Levis",3,"Rojo",5,3.39625924460295
"75",122,"Cali","10/01/1971","M",346,26,1971-01-10,2019-03-06,48,"Camiseta",4,1557,"Polo Club",3,"Verde",3,3.40141387135729
"76",123,"Cali","10/06/1980","M",547,19,1980-06-10,2019-03-06,38,"Interior",2,1055,"Arturo Calle",2,"Verde",3,2.7545082136876
"77",126,"Barranquilla","21/09/1984","M",57,30,1984-09-21,2019-03-06,34,"Camiseta",3,1517,"Gef",3,"Azul",3,3.34986760381389
"78",128,"Medellín","6/06/1987","F",484,19,1987-06-06,2019-03-06,31,"Camiseta",3,2141,"Levis",3,"Verde",4,4.15398937749095
"79",129,"Bucaramanga","16/02/1992","M",376,25,1992-02-16,2019-03-06,27,"Accesorios",5,1034,"Levis",4,"Azul",3,2.72744642322731
"80",130,"Bucaramanga","30/04/1991","M",208,12,1991-04-30,2019-03-06,27,"Accesorios",5,3344,"Levis",5,"Verde",5,5.70424337385875
"81",132,"Bogotá","8/09/1993","F",484,31,1993-09-08,2019-03-06,25,"Camiseta",4,2406,"Levis",4,"Rojo",4,4.49548339996598
"82",133,"Bogotá","17/07/1989","M",132,35,1989-07-17,2019-03-06,29,"Interior",6,1782,"Levis",5,"Amarillo",3,3.69136162628892
"83",134,"Bucaramanga","8/01/1981","M",230,23,1981-01-08,2019-03-06,38,"Pantalon",3,1405,"Polo Club",4,"Negro",3,3.20553805469236
"84",136,"Barranquilla","23/11/1987","M",97,29,1987-11-23,2019-03-06,31,"Interior",4,1900,"Tennis",5,"Azul",4,3.84342311554196
"85",138,"Cali","25/03/1992","M",528,32,1992-03-25,2019-03-06,26,"Accesorios",3,1276,"Arturo Calle",2,"Rojo",3,3.03930134186489
"86",140,"Medellín","5/07/1989","F",152,3,1989-07-05,2019-03-06,29,"Camiseta",4,1520,"Levis",5,"Amarillo",2,3.35373357387964
"87",143,"Medellín","14/12/1972","M",220,5,1972-12-14,2019-03-06,46,"Pantalon",4,1843,"Levis",4,"Blanco",3,3.76996968429261
"88",145,"Medellín","29/07/1993","F",325,2,1993-07-29,2019-03-06,25,"Pantalon",4,1242,"Levis",3,"Azul",2,2.995487014453
"89",146,"Barranquilla","16/04/1993","M",303,30,1993-04-16,2019-03-06,25,"Pantalon",2,443,"Levis",2,"Azul",2,1.96585032027356
"90",147,"Bucaramanga","24/01/1981","M",60,1,1981-01-24,2019-03-06,38,"Camisa",4,2213,"Levis",4,"Blanco",5,4.24677265906907
"91",148,"Bogotá","25/03/1990","M",350,29,1990-03-25,2019-03-06,28,"Camisa",5,2450,"Tennis",5,"Amarillo",3,4.55218429426373
"92",150,"Barranquilla","9/01/1991","F",220,33,1991-01-09,2019-03-06,28,"Camisa",2,1012,"Levis",3,"Amarillo",2,2.69909597607844
"93",151,"Medellín","17/10/1987","F",623,34,1987-10-17,2019-03-06,31,"Camisa",5,1364,"Gef",3,"Blanco",3,3.15270313046038
"94",153,"Medellín","7/12/1986","M",161,22,1986-12-07,2019-03-06,32,"Pantalon",7,4405,"Gef",7,"Rojo",7,7.07150812044747
"95",156,"Cali","4/02/1974","F",290,30,1974-02-04,2019-03-06,45,"Camiseta",3,1249,"Gef",4,"Verde",3,3.0045076112731
"96",157,"Bogotá","23/04/1988","M",82,14,1988-04-23,2019-03-06,30,"Pantalon",6,3075,"Levis",6,"Verde",6,5.35759472462937
"97",158,"Cali","22/01/1986","M",347,26,1986-01-22,2019-03-06,33,"Accesorios",4,1949,"Levis",4,"Verde",4,3.90656729328262
"98",160,"Bogotá","23/08/1985","F",203,18,1985-08-23,2019-03-06,33,"Accesorios",2,1385,"Tennis",3,"Verde",3,3.17976492092066
"99",161,"Cali","2/09/1973","M",63,30,1973-09-02,2019-03-06,45,"Pantalon",2,1321,"Levis",3,"Azul",2,3.09729089285122
"100",162,"Medellín","21/08/1979","F",326,8,1979-08-21,2019-03-06,39,"Accesorios",4,1803,"Polo Club",4,"Blanco",4,3.71842341674921
"101",163,"Cali","29/06/1987","M",358,36,1987-06-29,2019-03-06,31,"Camiseta",1,303,"Gef",1,"Amarillo",2,1.78543838387165
"102",164,"Barranquilla","15/07/1984","M",279,19,1984-07-15,2019-03-06,34,"Interior",4,2581,"Levis",6,"Verde",6,4.72099832046837
"103",166,"Bucaramanga","30/12/1986","F",576,14,1986-12-30,2019-03-06,32,"Camiseta",5,3527,"Levis",5,"Rojo",5,5.94006754786981
"104",167,"Bucaramanga","13/05/1980","M",102,7,1980-05-13,2019-03-06,38,"Camiseta",4,1581,"Levis",4,"Negro",4,3.43234163188333
"105",168,"Medellín","21/12/1975","F",247,27,1975-12-21,2019-03-06,43,"Camisa",5,1749,"Levis",4,"Verde",5,3.64883595556562
"106",169,"Bogotá","10/02/1993","F",294,21,1993-02-10,2019-03-06,26,"Camisa",3,1780,"Polo Club",7,"Amarillo",2,3.68878431291175
"107",170,"Medellín","5/10/1985","F",616,19,1985-10-05,2019-03-06,33,"Camisa",3,1525,"Arturo Calle",2,"Azul",3,3.36017685732257
"108",172,"Bogotá","15/07/1989","M",398,16,1989-07-15,2019-03-06,29,"Interior",3,1041,"Levis",3,"Blanco",2,2.73646702004741
"109",175,"Barranquilla","27/02/1996","F",435,33,1996-02-27,2019-03-06,23,"Pantalon",4,1118,"Levis",3,"Verde",3,2.83569358506846
"110",178,"Cali","26/12/1990","M",309,24,1990-12-26,2019-03-06,28,"Accesorios",3,1687,"Levis",5,"Verde",5,3.56893924087334
"111",179,"Bucaramanga","10/10/1990","M",592,18,1990-10-10,2019-03-06,28,"Camisa",5,2819,"Levis",5,"Verde",6,5.0276986123516
"112",180,"Medellín","19/04/1987","F",329,17,1987-04-19,2019-03-06,31,"Camiseta",5,2156,"Levis",5,"Amarillo",4,4.17331922781973
"113",181,"Bucaramanga","11/08/1952","F",463,24,1952-08-11,2019-03-06,66,"Pantalon",5,3180,"Polo Club",6,"Verde",5,5.4929036769308
"114",182,"Bogotá","2/11/1985","M",123,19,1985-11-02,2019-03-06,33,"Accesorios",5,2951,"Levis",6,"Verde",4,5.19780129524483
"115",183,"Cali","31/01/1984","F",166,36,1984-01-31,2019-03-06,35,"Accesorios",3,2946,"Gef",4,"Blanco",4,5.1913580118019
"116",185,"Bogotá","1/12/1987","F",269,12,1987-12-01,2019-03-06,31,"Camisa",5,2898,"Levis",9,"Amarillo",4,5.12950249074982
"117",186,"Bogotá","28/03/1993","M",165,32,1993-03-28,2019-03-06,25,"Camiseta",3,1984,"Tennis",4,"Verde",5,3.9516702773831
"118",187,"Cali","20/02/1982","M",347,8,1982-02-20,2019-03-06,37,"Camisa",4,1993,"Gef",3,"Amarillo",3,3.96326818758036
"119",188,"Bogotá","23/08/1990","M",436,30,1990-08-23,2019-03-06,28,"Camiseta",2,1374,"Gef",2,"Negro",2,3.16558969734623
"120",190,"Barranquilla","15/08/1994","F",157,13,1994-08-15,2019-03-06,24,"Camisa",5,2279,"Arturo Calle",4,"Rojo",4,4.33182400051569
"121",191,"Medellín","4/05/1979","M",511,24,1979-05-04,2019-03-06,39,"Interior",5,2894,"Arturo Calle",4,"Azul",3,5.12434786399548
"122",195,"Bucaramanga","21/11/1996","M",56,12,1996-11-21,2019-03-06,22,"Accesorios",6,1806,"Levis",6,"Verde",5,3.72228938681496
"123",196,"Bogotá","29/12/1989","F",96,13,1989-12-29,2019-03-06,29,"Accesorios",4,2062,"Tennis",4,"Negro",3,4.05218549909273
"124",199,"Medellín","5/09/1988","F",501,32,1988-09-05,2019-03-06,30,"Camisa",3,2094,"Polo Club",4,"Amarillo",3,4.09342251312745
"125",200,"Medellín","22/11/1983","M",54,12,1983-11-22,2019-03-06,35,"Accesorios",3,1623,"Arturo Calle",5,"Verde",4,3.4864652128039
